day,calls,day_of_week,month,year,holiday
2021-05-07,71,4,5,2021,False
2021-05-08,43,5,5,2021,False
2021-05-09,69,6,5,2021,False
2021-05-10,76,0,5,2021,False
2021-05-11,62,1,5,2021,False
2021-05-12,78,2,5,2021,False
2021-05-13,54,3,5,2021,False
2021-05-14,68,4,5,2021,False
2021-05-15,75,5,5,2021,False
2021-05-16,52,6,5,2021,True
2021-05-17,71,0,5,2021,False
2021-05-18,46,1,5,2021,False
2021-05-19,61,2,5,2021,False
2021-05-20,67,3,5,2021,False
2021-05-21,41,4,5,2021,False
2021-05-22,45,5,5,2021,False
2021-05-23,67,6,5,2021,False
2021-05-24,67,0,5,2021,False
2021-05-25,59,1,5,2021,False
2021-05-26,69,2,5,2021,False
2021-05-27,50,3,5,2021,False
2021-05-28,67,4,5,2021,False
2021-05-29,64,5,5,2021,False
2021-05-30,78,6,5,2021,False
2021-05-31,72,0,5,2021,False
2021-06-01,40,1,6,2021,False
2021-06-02,66,2,6,2021,False
2021-06-03,52,3,6,2021,False
2021-06-04,42,4,6,2021,False
2021-06-05,78,5,6,2021,False
2021-06-06,45,6,6,2021,False
2021-06-07,47,0,6,2021,False
2021-06-08,66,1,6,2021,False
2021-06-09,48,2,6,2021,False
2021-06-10,76,3,6,2021,False
2021-06-11,72,4,6,2021,False
2021-06-12,63,5,6,2021,False
2021-06-13,54,6,6,2021,False
2021-06-14,71,0,6,2021,False
2021-06-15,71,1,6,2021,False
2021-06-16,63,2,6,2021,False
2021-06-17,51,3,6,2021,False
2021-06-18,78,4,6,2021,False
2021-06-19,41,5,6,2021,False
2021-06-20,42,6,6,2021,False
2021-06-21,76,0,6,2021,False
2021-06-22,56,1,6,2021,False
2021-06-23,41,2,6,2021,False
2021-06-24,41,3,6,2021,False
2021-06-25,67,4,6,2021,False
2021-06-26,62,5,6,2021,False
2021-06-27,76,6,6,2021,False
2021-06-28,71,0,6,2021,True
2021-06-29,72,1,6,2021,False
2021-06-30,40,2,6,2021,False
2021-07-01,58,3,7,2021,True
2021-07-02,41,4,7,2021,False
2021-07-03,65,5,7,2021,False
2021-07-04,71,6,7,2021,False
2021-07-05,45,0,7,2021,False
2021-07-06,71,1,7,2021,False
2021-07-07,43,2,7,2021,False
2021-07-08,50,3,7,2021,False
2021-07-09,56,4,7,2021,False
2021-07-10,77,5,7,2021,False
2021-07-11,63,6,7,2021,False
2021-07-12,44,0,7,2021,False
2021-07-13,73,1,7,2021,False
2021-07-14,45,2,7,2021,False
2021-07-15,61,3,7,2021,False
2021-07-16,50,4,7,2021,False
2021-07-17,55,5,7,2021,False
2021-07-18,72,6,7,2021,False
2021-07-19,48,0,7,2021,False
2021-07-20,45,1,7,2021,False
2021-07-21,55,2,7,2021,False
2021-07-22,68,3,7,2021,False
2021-07-23,42,4,7,2021,False
2021-07-24,59,5,7,2021,False
2021-07-25,75,6,7,2021,False
2021-07-26,58,0,7,2021,False
2021-07-27,65,1,7,2021,False
2021-07-28,42,2,7,2021,False
2021-07-29,58,3,7,2021,False
2021-07-30,59,4,7,2021,False
2021-07-31,71,5,7,2021,False
2021-08-01,46,6,8,2021,False
2021-08-02,72,0,8,2021,False
2021-08-03,79,1,8,2021,False
2021-08-04,78,2,8,2021,False
2021-08-05,57,3,8,2021,False
2021-08-06,79,4,8,2021,False
2021-08-07,40,5,8,2021,False
2021-08-08,50,6,8,2021,False
2021-08-09,67,0,8,2021,False
2021-08-10,64,1,8,2021,False
2021-08-11,62,2,8,2021,False
2021-08-12,70,3,8,2021,False
2021-08-13,69,4,8,2021,False
2021-08-14,74,5,8,2021,False
2021-08-15,46,6,8,2021,False
2021-08-16,55,0,8,2021,False
2021-08-17,65,1,8,2021,False
2021-08-18,41,2,8,2021,False
2021-08-19,40,3,8,2021,False
2021-08-20,51,4,8,2021,False
2021-08-21,44,5,8,2021,False
2021-08-22,76,6,8,2021,False
2021-08-23,71,0,8,2021,False
2021-08-24,48,1,8,2021,False
2021-08-25,74,2,8,2021,False
2021-08-26,58,3,8,2021,False
2021-08-27,55,4,8,2021,False
2021-08-28,42,5,8,2021,False
2021-08-29,59,6,8,2021,False
2021-08-30,63,0,8,2021,False
2021-08-31,72,1,8,2021,False
2021-09-01,63,2,9,2021,False
2021-09-02,50,3,9,2021,False
2021-09-03,47,4,9,2021,False
2021-09-04,75,5,9,2021,False
2021-09-05,77,6,9,2021,False
2021-09-06,79,0,9,2021,False
2021-09-07,59,1,9,2021,False
2021-09-08,74,2,9,2021,False
2021-09-09,64,3,9,2021,False
2021-09-10,74,4,9,2021,True
2021-09-11,64,5,9,2021,False
2021-09-12,68,6,9,2021,False
2021-09-13,57,0,9,2021,False
2021-09-14,57,1,9,2021,True
2021-09-15,41,2,9,2021,False
2021-09-16,74,3,9,2021,False
2021-09-17,55,4,9,2021,False
2021-09-18,75,5,9,2021,False
2021-09-19,72,6,9,2021,False
2021-09-20,43,0,9,2021,False
2021-09-21,72,1,9,2021,False
2021-09-22,53,2,9,2021,False
2021-09-23,60,3,9,2021,False
2021-09-24,59,4,9,2021,False
2021-09-25,47,5,9,2021,False
2021-09-26,46,6,9,2021,False
2021-09-27,42,0,9,2021,False
2021-09-28,56,1,9,2021,False
2021-09-29,72,2,9,2021,False
2021-09-30,51,3,9,2021,False
2021-10-01,61,4,10,2021,False
2021-10-02,61,5,10,2021,False
2021-10-03,69,6,10,2021,False
2021-10-04,77,0,10,2021,False
2021-10-05,77,1,10,2021,False
2021-10-06,47,2,10,2021,False
2021-10-07,66,3,10,2021,False
2021-10-08,66,4,10,2021,False
2021-10-09,73,5,10,2021,False
2021-10-10,60,6,10,2021,False
2021-10-11,69,0,10,2021,False
2021-10-12,72,1,10,2021,False
2021-10-13,67,2,10,2021,False
2021-10-14,72,3,10,2021,False
2021-10-15,44,4,10,2021,False
2021-10-16,58,5,10,2021,False
2021-10-17,43,6,10,2021,False
2021-10-18,74,0,10,2021,False
2021-10-19,56,1,10,2021,False
2021-10-20,67,2,10,2021,False
2021-10-21,69,3,10,2021,False
2021-10-22,68,4,10,2021,False
2021-10-23,45,5,10,2021,False
2021-10-24,74,6,10,2021,False
2021-10-25,76,0,10,2021,False
2021-10-26,63,1,10,2021,True
2021-10-27,68,2,10,2021,False
2021-10-28,70,3,10,2021,False
2021-10-29,74,4,10,2021,False
2021-10-30,72,5,10,2021,False
2021-10-31,60,6,10,2021,False
2021-11-01,71,0,11,2021,True
2021-11-02,62,1,11,2021,False
2021-11-03,72,2,11,2021,False
2021-11-04,42,3,11,2021,False
2021-11-05,57,4,11,2021,False
2021-11-06,64,5,11,2021,False
2021-11-07,70,6,11,2021,False
2021-11-08,42,0,11,2021,False
2021-11-09,79,1,11,2021,False
2021-11-10,63,2,11,2021,False
2021-11-11,71,3,11,2021,False
2021-11-12,61,4,11,2021,False
2021-11-13,62,5,11,2021,False
2021-11-14,41,6,11,2021,False
2021-11-15,66,0,11,2021,False
2021-11-16,41,1,11,2021,False
2021-11-17,65,2,11,2021,False
2021-11-18,56,3,11,2021,False
2021-11-19,79,4,11,2021,False
2021-11-20,72,5,11,2021,False
2021-11-21,48,6,11,2021,False
2021-11-22,78,0,11,2021,False
2021-11-23,68,1,11,2021,False
2021-11-24,65,2,11,2021,False
2021-11-25,74,3,11,2021,False
2021-11-26,64,4,11,2021,False
2021-11-27,63,5,11,2021,False
2021-11-28,52,6,11,2021,False
2021-11-29,46,0,11,2021,False
2021-11-30,75,1,11,2021,False
2021-12-01,59,2,12,2021,False
2021-12-02,40,3,12,2021,False
2021-12-03,47,4,12,2021,False
2021-12-04,55,5,12,2021,False
2021-12-05,53,6,12,2021,False
2021-12-06,51,0,12,2021,False
2021-12-07,62,1,12,2021,False
2021-12-08,54,2,12,2021,False
2021-12-09,67,3,12,2021,False
2021-12-10,73,4,12,2021,False
2021-12-11,41,5,12,2021,False
2021-12-12,71,6,12,2021,False
2021-12-13,62,0,12,2021,False
2021-12-14,61,1,12,2021,False
2021-12-15,64,2,12,2021,False
2021-12-16,61,3,12,2021,False
2021-12-17,61,4,12,2021,False
2021-12-18,45,5,12,2021,False
2021-12-19,54,6,12,2021,False
2021-12-20,76,0,12,2021,True
2021-12-21,72,1,12,2021,False
2021-12-22,47,2,12,2021,False
2021-12-23,44,3,12,2021,False
2021-12-24,78,4,12,2021,False
2021-12-25,43,5,12,2021,False
2021-12-26,45,6,12,2021,False
2021-12-27,71,0,12,2021,False
2021-12-28,69,1,12,2021,False
2021-12-29,74,2,12,2021,False
2021-12-30,79,3,12,2021,False
2021-12-31,55,4,12,2021,False
2022-01-01,52,5,1,2022,False
2022-01-02,69,6,1,2022,False
2022-01-03,58,0,1,2022,False
2022-01-04,56,1,1,2022,False
2022-01-05,58,2,1,2022,False
2022-01-06,67,3,1,2022,False
2022-01-07,65,4,1,2022,False
2022-01-08,76,5,1,2022,False
2022-01-09,65,6,1,2022,False
2022-01-10,62,0,1,2022,False
2022-01-11,48,1,1,2022,False
2022-01-12,51,2,1,2022,False
2022-01-13,40,3,1,2022,False
2022-01-14,40,4,1,2022,False
2022-01-15,73,5,1,2022,False
2022-01-16,71,6,1,2022,False
2022-01-17,64,0,1,2022,False
2022-01-18,79,1,1,2022,False
2022-01-19,40,2,1,2022,True
2022-01-20,55,3,1,2022,False
2022-01-21,78,4,1,2022,False
2022-01-22,44,5,1,2022,False
2022-01-23,61,6,1,2022,False
2022-01-24,68,0,1,2022,False
2022-01-25,42,1,1,2022,False
2022-01-26,51,2,1,2022,False
2022-01-27,65,3,1,2022,False
2022-01-28,55,4,1,2022,False
2022-01-29,76,5,1,2022,False
2022-01-30,61,6,1,2022,False
2022-01-31,68,0,1,2022,False
2022-02-01,53,1,2,2022,False
2022-02-02,67,2,2,2022,False
2022-02-03,44,3,2,2022,False
2022-02-04,69,4,2,2022,False
2022-02-05,44,5,2,2022,False
2022-02-06,51,6,2,2022,False
2022-02-07,55,0,2,2022,False
2022-02-08,65,1,2,2022,False
2022-02-09,65,2,2,2022,False
2022-02-10,60,3,2,2022,False
2022-02-11,78,4,2,2022,False
2022-02-12,75,5,2,2022,False
2022-02-13,72,6,2,2022,False
2022-02-14,69,0,2,2022,False
2022-02-15,76,1,2,2022,False
2022-02-16,62,2,2,2022,False
2022-02-17,49,3,2,2022,False
2022-02-18,44,4,2,2022,False
2022-02-19,75,5,2,2022,False
2022-02-20,73,6,2,2022,False
2022-02-21,70,0,2,2022,False
2022-02-22,49,1,2,2022,False
2022-02-23,58,2,2,2022,False
2022-02-24,71,3,2,2022,False
2022-02-25,40,4,2,2022,False
2022-02-26,44,5,2,2022,False
2022-02-27,43,6,2,2022,False
2022-02-28,55,0,2,2022,False
2022-03-01,63,1,3,2022,False
2022-03-02,55,2,3,2022,False
2022-03-03,41,3,3,2022,False
2022-03-04,67,4,3,2022,False
2022-03-05,71,5,3,2022,False
2022-03-06,66,6,3,2022,False
2022-03-07,59,0,3,2022,False
2022-03-08,63,1,3,2022,False
2022-03-09,51,2,3,2022,False
2022-03-10,74,3,3,2022,False
2022-03-11,72,4,3,2022,False
2022-03-12,72,5,3,2022,False
2022-03-13,76,6,3,2022,False
2022-03-14,51,0,3,2022,False
2022-03-15,42,1,3,2022,False
2022-03-16,40,2,3,2022,False
2022-03-17,72,3,3,2022,False
2022-03-18,79,4,3,2022,False
2022-03-19,49,5,3,2022,False
2022-03-20,68,6,3,2022,False
2022-03-21,52,0,3,2022,False
2022-03-22,51,1,3,2022,False
2022-03-23,70,2,3,2022,False
2022-03-24,41,3,3,2022,False
2022-03-25,74,4,3,2022,False
2022-03-26,62,5,3,2022,False
2022-03-27,56,6,3,2022,False
2022-03-28,65,0,3,2022,False
2022-03-29,47,1,3,2022,False
2022-03-30,68,2,3,2022,False
2022-03-31,65,3,3,2022,False
2022-04-01,49,4,4,2022,False
2022-04-02,65,5,4,2022,False
2022-04-03,73,6,4,2022,False
2022-04-04,46,0,4,2022,False
2022-04-05,43,1,4,2022,False
2022-04-06,50,2,4,2022,False
2022-04-07,68,3,4,2022,False
2022-04-08,75,4,4,2022,False
2022-04-09,64,5,4,2022,False
2022-04-10,60,6,4,2022,False
2022-04-11,75,0,4,2022,False
2022-04-12,49,1,4,2022,False
2022-04-13,76,2,4,2022,False
2022-04-14,48,3,4,2022,False
2022-04-15,63,4,4,2022,False
2022-04-16,74,5,4,2022,False
2022-04-17,74,6,4,2022,False
2022-04-18,75,0,4,2022,False
2022-04-19,57,1,4,2022,False
2022-04-20,78,2,4,2022,False
2022-04-21,71,3,4,2022,False
2022-04-22,63,4,4,2022,False
2022-04-23,62,5,4,2022,False
2022-04-24,71,6,4,2022,False
2022-04-25,76,0,4,2022,False
2022-04-26,51,1,4,2022,False
2022-04-27,52,2,4,2022,False
2022-04-28,62,3,4,2022,False
2022-04-29,64,4,4,2022,False
2022-04-30,74,5,4,2022,False
2022-05-01,69,6,5,2022,False
2022-05-02,56,0,5,2022,False
2022-05-03,59,1,5,2022,False
2022-05-04,64,2,5,2022,False
2022-05-05,61,3,5,2022,False
2022-05-06,52,4,5,2022,False
2022-05-07,58,5,5,2022,False
2022-05-08,75,6,5,2022,False
2022-05-09,51,0,5,2022,False
2022-05-10,58,1,5,2022,False
2022-05-11,51,2,5,2022,False
2022-05-12,48,3,5,2022,False
2022-05-13,46,4,5,2022,True
2022-05-14,67,5,5,2022,False
2022-05-15,53,6,5,2022,False
2022-05-16,70,0,5,2022,False
2022-05-17,58,1,5,2022,False
2022-05-18,55,2,5,2022,False
2022-05-19,44,3,5,2022,False
2022-05-20,74,4,5,2022,False
2022-05-21,51,5,5,2022,False
2022-05-22,64,6,5,2022,False
2022-05-23,60,0,5,2022,False
2022-05-24,75,1,5,2022,False
2022-05-25,62,2,5,2022,False
2022-05-26,55,3,5,2022,False
2022-05-27,78,4,5,2022,False
2022-05-28,78,5,5,2022,False
2022-05-29,53,6,5,2022,False
2022-05-30,70,0,5,2022,False
2022-05-31,44,1,5,2022,False
2022-06-01,74,2,6,2022,False
2022-06-02,62,3,6,2022,False
2022-06-03,68,4,6,2022,False
2022-06-04,50,5,6,2022,False
2022-06-05,57,6,6,2022,True
2022-06-06,51,0,6,2022,False
2022-06-07,48,1,6,2022,False
2022-06-08,49,2,6,2022,False
2022-06-09,56,3,6,2022,False
2022-06-10,77,4,6,2022,False
2022-06-11,46,5,6,2022,False
2022-06-12,52,6,6,2022,False
2022-06-13,79,0,6,2022,False
2022-06-14,48,1,6,2022,False
2022-06-15,66,2,6,2022,False
2022-06-16,41,3,6,2022,True
2022-06-17,44,4,6,2022,False
2022-06-18,68,5,6,2022,False
2022-06-19,76,6,6,2022,False
2022-06-20,77,0,6,2022,False
2022-06-21,58,1,6,2022,False
2022-06-22,47,2,6,2022,False
2022-06-23,40,3,6,2022,False
2022-06-24,61,4,6,2022,False
2022-06-25,56,5,6,2022,False
2022-06-26,46,6,6,2022,False
2022-06-27,64,0,6,2022,False
2022-06-28,43,1,6,2022,False
2022-06-29,75,2,6,2022,False
2022-06-30,45,3,6,2022,False
2022-07-01,70,4,7,2022,False
2022-07-02,58,5,7,2022,True
2022-07-03,78,6,7,2022,True
2022-07-04,66,0,7,2022,False
2022-07-05,49,1,7,2022,False
2022-07-06,65,2,7,2022,True
2022-07-07,58,3,7,2022,False
2022-07-08,78,4,7,2022,False
2022-07-09,42,5,7,2022,False
2022-07-10,52,6,7,2022,False
2022-07-11,67,0,7,2022,False
2022-07-12,59,1,7,2022,False
2022-07-13,67,2,7,2022,False
2022-07-14,47,3,7,2022,False
2022-07-15,78,4,7,2022,False
2022-07-16,40,5,7,2022,False
2022-07-17,42,6,7,2022,True
2022-07-18,52,0,7,2022,False
2022-07-19,67,1,7,2022,False
2022-07-20,64,2,7,2022,False
2022-07-21,72,3,7,2022,False
2022-07-22,77,4,7,2022,False
2022-07-23,45,5,7,2022,False
2022-07-24,71,6,7,2022,False
2022-07-25,60,0,7,2022,False
2022-07-26,55,1,7,2022,False
2022-07-27,60,2,7,2022,False
2022-07-28,50,3,7,2022,False
2022-07-29,76,4,7,2022,False
2022-07-30,75,5,7,2022,False
2022-07-31,74,6,7,2022,False
2022-08-01,58,0,8,2022,False
2022-08-02,59,1,8,2022,False
2022-08-03,57,2,8,2022,False
2022-08-04,53,3,8,2022,False
2022-08-05,54,4,8,2022,False
2022-08-06,70,5,8,2022,False
2022-08-07,40,6,8,2022,False
2022-08-08,42,0,8,2022,False
2022-08-09,55,1,8,2022,False
2022-08-10,62,2,8,2022,False
2022-08-11,50,3,8,2022,False
2022-08-12,51,4,8,2022,False
2022-08-13,49,5,8,2022,False
2022-08-14,71,6,8,2022,False
2022-08-15,55,0,8,2022,False
2022-08-16,47,1,8,2022,False
2022-08-17,77,2,8,2022,False
2022-08-18,51,3,8,2022,False
2022-08-19,63,4,8,2022,False
2022-08-20,67,5,8,2022,False
2022-08-21,47,6,8,2022,False
2022-08-22,67,0,8,2022,False
2022-08-23,75,1,8,2022,False
2022-08-24,65,2,8,2022,False
2022-08-25,47,3,8,2022,False
2022-08-26,67,4,8,2022,False
2022-08-27,67,5,8,2022,False
2022-08-28,76,6,8,2022,False
2022-08-29,75,0,8,2022,False
2022-08-30,66,1,8,2022,False
2022-08-31,56,2,8,2022,False
2022-09-01,48,3,9,2022,False
2022-09-02,72,4,9,2022,False
2022-09-03,59,5,9,2022,False
2022-09-04,52,6,9,2022,False
2022-09-05,67,0,9,2022,False
2022-09-06,68,1,9,2022,False
2022-09-07,52,2,9,2022,False
2022-09-08,74,3,9,2022,False
2022-09-09,45,4,9,2022,False
2022-09-10,57,5,9,2022,True
2022-09-11,44,6,9,2022,False
2022-09-12,64,0,9,2022,False
2022-09-13,41,1,9,2022,False
2022-09-14,49,2,9,2022,False
2022-09-15,69,3,9,2022,False
2022-09-16,44,4,9,2022,False
2022-09-17,72,5,9,2022,False
2022-09-18,40,6,9,2022,False
2022-09-19,57,0,9,2022,False
2022-09-20,71,1,9,2022,False
2022-09-21,50,2,9,2022,False
2022-09-22,60,3,9,2022,False
2022-09-23,65,4,9,2022,False
2022-09-24,64,5,9,2022,False
2022-09-25,61,6,9,2022,False
2022-09-26,66,0,9,2022,False
2022-09-27,52,1,9,2022,False
2022-09-28,72,2,9,2022,False
2022-09-29,73,3,9,2022,False
2022-09-30,74,4,9,2022,False
2022-10-01,40,5,10,2022,False
2022-10-02,60,6,10,2022,False
2022-10-03,45,0,10,2022,False
2022-10-04,67,1,10,2022,False
2022-10-05,56,2,10,2022,False
2022-10-06,44,3,10,2022,False
2022-10-07,70,4,10,2022,False
2022-10-08,44,5,10,2022,False
2022-10-09,77,6,10,2022,False
2022-10-10,42,0,10,2022,False
2022-10-11,62,1,10,2022,False
2022-10-12,76,2,10,2022,False
2022-10-13,76,3,10,2022,False
2022-10-14,49,4,10,2022,False
2022-10-15,49,5,10,2022,False
2022-10-16,58,6,10,2022,False
2022-10-17,56,0,10,2022,False
2022-10-18,60,1,10,2022,False
2022-10-19,53,2,10,2022,False
2022-10-20,48,3,10,2022,False
2022-10-21,40,4,10,2022,False
2022-10-22,52,5,10,2022,False
2022-10-23,43,6,10,2022,False
2022-10-24,40,0,10,2022,False
2022-10-25,79,1,10,2022,False
2022-10-26,71,2,10,2022,False
2022-10-27,73,3,10,2022,False
2022-10-28,67,4,10,2022,False
2022-10-29,70,5,10,2022,False
2022-10-30,47,6,10,2022,False
2022-10-31,78,0,10,2022,False
2022-11-01,65,1,11,2022,False
2022-11-02,73,2,11,2022,False
2022-11-03,42,3,11,2022,False
2022-11-04,51,4,11,2022,False
2022-11-05,40,5,11,2022,False
2022-11-06,44,6,11,2022,False
2022-11-07,69,0,11,2022,False
2022-11-08,69,1,11,2022,False
2022-11-09,56,2,11,2022,False
2022-11-10,62,3,11,2022,False
2022-11-11,54,4,11,2022,False
2022-11-12,76,5,11,2022,False
2022-11-13,60,6,11,2022,False
2022-11-14,53,0,11,2022,False
2022-11-15,41,1,11,2022,False
2022-11-16,50,2,11,2022,False
2022-11-17,78,3,11,2022,False
2022-11-18,77,4,11,2022,False
2022-11-19,73,5,11,2022,False
2022-11-20,77,6,11,2022,False
2022-11-21,73,0,11,2022,False
2022-11-22,57,1,11,2022,False
2022-11-23,69,2,11,2022,False
2022-11-24,54,3,11,2022,False
2022-11-25,66,4,11,2022,False
2022-11-26,73,5,11,2022,False
2022-11-27,77,6,11,2022,False
2022-11-28,72,0,11,2022,False
2022-11-29,63,1,11,2022,False
2022-11-30,54,2,11,2022,False
2022-12-01,69,3,12,2022,False
2022-12-02,56,4,12,2022,False
2022-12-03,44,5,12,2022,False
2022-12-04,68,6,12,2022,False
2022-12-05,43,0,12,2022,False
2022-12-06,49,1,12,2022,False
2022-12-07,56,2,12,2022,False
2022-12-08,49,3,12,2022,False
2022-12-09,56,4,12,2022,False
2022-12-10,59,5,12,2022,False
2022-12-11,63,6,12,2022,False
2022-12-12,44,0,12,2022,False
2022-12-13,73,1,12,2022,False
2022-12-14,45,2,12,2022,False
2022-12-15,41,3,12,2022,False
2022-12-16,52,4,12,2022,False
2022-12-17,50,5,12,2022,False
2022-12-18,62,6,12,2022,False
2022-12-19,55,0,12,2022,False
2022-12-20,70,1,12,2022,False
2022-12-21,50,2,12,2022,False
2022-12-22,55,3,12,2022,False
2022-12-23,47,4,12,2022,False
2022-12-24,43,5,12,2022,False
2022-12-25,79,6,12,2022,False
2022-12-26,43,0,12,2022,False
2022-12-27,64,1,12,2022,False
2022-12-28,42,2,12,2022,True
2022-12-29,71,3,12,2022,False
2022-12-30,42,4,12,2022,False
2022-12-31,66,5,12,2022,False
2023-01-01,68,6,1,2023,False
2023-01-02,71,0,1,2023,False
2023-01-03,58,1,1,2023,False
2023-01-04,60,2,1,2023,False
2023-01-05,44,3,1,2023,False
2023-01-06,57,4,1,2023,False
2023-01-07,67,5,1,2023,False
2023-01-08,61,6,1,2023,False
2023-01-09,60,0,1,2023,False
2023-01-10,45,1,1,2023,False
2023-01-11,40,2,1,2023,False
2023-01-12,44,3,1,2023,False
2023-01-13,51,4,1,2023,False
2023-01-14,65,5,1,2023,False
2023-01-15,73,6,1,2023,False
2023-01-16,53,0,1,2023,False
2023-01-17,65,1,1,2023,False
2023-01-18,66,2,1,2023,False
2023-01-19,48,3,1,2023,False
2023-01-20,65,4,1,2023,False
2023-01-21,61,5,1,2023,False
2023-01-22,69,6,1,2023,False
2023-01-23,56,0,1,2023,False
2023-01-24,65,1,1,2023,False
2023-01-25,75,2,1,2023,False
2023-01-26,40,3,1,2023,False
2023-01-27,47,4,1,2023,False
2023-01-28,74,5,1,2023,False
2023-01-29,54,6,1,2023,True
2023-01-30,61,0,1,2023,False
2023-01-31,53,1,1,2023,False
2023-02-01,65,2,2,2023,False
2023-02-02,67,3,2,2023,False
2023-02-03,62,4,2,2023,False
2023-02-04,53,5,2,2023,False
2023-02-05,63,6,2,2023,False
2023-02-06,41,0,2,2023,False
2023-02-07,65,1,2,2023,False
2023-02-08,53,2,2,2023,False
2023-02-09,46,3,2,2023,False
2023-02-10,42,4,2,2023,False
2023-02-11,62,5,2,2023,False
2023-02-12,57,6,2,2023,False
2023-02-13,77,0,2,2023,False
2023-02-14,74,1,2,2023,False
